time,MD,MF
11.359992,2.4784,6.02416
11.379992,2.356,5.69624
11.399992,2.2416,5.36072
11.419992,2.112,5.0252
11.439992,1.9976,4.68968
11.459992,1.8832,4.35416
11.479992,1.7616,4.01864
11.499992,1.6392,3.6908
11.519992,1.5248,3.35528
11.539992,1.4032,3.01208
11.559992,1.2888,2.68416
11.579992,1.1592,2.34864
11.599992,1.0448,2.00552
11.619992,0.9304,1.68528
11.639992,0.808,1.34208
11.659992,0.6864,1.00656
11.679992,0.5792,0.7016
11.699992,0.6024,0.8312
11.719992,0.6024,0.81592
11.740092,0.6024,0.79304
11.759992,0.6024,0.81592
11.780092,0.6024,0.80072
11.799992,0.6024,0.80832
11.819992,0.6024,0.80072
11.839992,0.6024,0.80832
11.859992,0.6024,0.80832
11.879992,0.6024,0.80832
11.899992,0.6024,0.80832
11.919992,0.6024,0.80832
11.940092,0.6024,0.80832
11.959992,0.6024,0.80832
11.979992,0.6024,0.80832
11.999992,0.6024,0.80832
12.019992,0.6024,0.80832
12.039992,0.6024,0.80832
12.059992,0.6024,0.80832
12.079992,0.6024,0.80832
12.099992,0.6024,0.80832
12.119992,0.6024,0.80832
12.139992,0.6024,0.80832
12.159992,0.6024,0.80832
12.179992,0.6024,0.80832
12.199992,0.6024,0.80832
12.219992,0.6024,0.80832
12.239992,0.6024,0.80832
12.259992,0.6024,0.80832
12.279992,0.6024,0.80832
12.299992,0.6024,0.80832
12.320092,0.6024,0.80832
12.339992,0.6024,0.80832
12.359992,0.6024,0.80832
12.379992,0.6024,0.80832
12.400092,0.6024,0.80832
12.420092,0.6024,0.80832
12.439992,0.6024,0.80832
12.459992,0.6024,0.80832
12.479992,0.6024,0.80832
12.499992,0.6024,0.80832
12.519992,0.6024,0.80832
12.540092,0.6024,0.80832
12.559992,0.6024,0.80832
12.579992,0.6024,0.80832
12.599992,0.6024,0.80832
12.619992,0.6024,0.80832
12.639992,0.6024,0.80832
12.659992,0.6024,0.80832
12.679992,0.6024,0.80832
12.699992,0.6024,0.80832
12.719992,0.6024,0.80832
12.739992,0.6024,0.80832
12.760092,0.6024,0.80832
12.779992,0.6024,0.80832
12.799992,0.6024,0.80832
12.819992,0.6024,0.80832
