time,MA,MC,MD,MF
5.816947,0.524806,0.290024,0.372888,-0.055243
5.836947,0.441942,0.41432,0.386699,-0.055243
5.856947,0.510995,0.317645,0.359077,-0.027621
5.876947,0.372889,0.303835,0.345267,-0.069053
5.896947,0.428131,0.290024,0.386699,-0.027621
5.916947,0.248593,0.248592,0.345267,-0.069053
5.936947,0.220971,0.276213,0.41432,-0.027621
5.956947,0.276214,0.290024,0.372888,-0.055243
5.976947,0.248593,0.248592,0.41432,-0.069053
5.996947,0.207161,0.290024,0.455752,-0.013811
6.016947,0.19335,0.220971,0.386699,-0.069053
6.036947,0.19335,0.193349,0.510995,-0.082864
6.056947,0.262403,0.220971,0.359077,-0.055243
6.076947,0.234782,0.20716,0.455752,-0.041432
6.096947,0.234782,0.165728,0.455752,-0.055243
6.116947,0.234782,0.193349,0.41432,-0.013811
6.136947,0.262403,0.179539,0.593859,-0.055243
6.156947,0.234782,0.138106,0.41432,-0.055243
6.176947,0.290025,0.151917,0.524805,-0.055243
6.196947,0.234782,0.151917,0.566238,-0.055243
6.216947,0.165729,0.165728,0.441941,-0.041432
6.236947,0.179539,0.124296,0.580048,-0.027621
6.256947,0.207161,0.082864,0.441941,-0.055243
6.276947,0.207161,0.165728,0.497184,-0.055243
6.296947,0.19335,0.124296,0.455752,-0.082864
6.316947,0.179539,0.138106,0.441941,-0.027621
6.336947,0.165729,0.151917,0.497184,-0.041432
6.356947,0.151918,0.082864,0.428131,-0.041432
6.376947,0.207161,0.151917,0.483373,-0.041432
6.396947,0.110486,0.096674,0.359077,-0.013811
6.416947,0.151918,0.082864,0.41432,-0.069053
6.436947,0.165729,0.096674,0.386699,-0.055243
6.456947,0.096675,0.041432,0.345267,0.0
6.476947,0.110486,0.055243,0.455752,-0.069053
6.496947,0.151918,0.041432,0.345267,-0.041432
6.516947,0.138107,0.041432,0.441941,-0.013811
6.536947,0.151918,0.082864,0.400509,-0.027621
6.556947,0.179539,0.055243,0.331456,-0.069053
6.576947,0.179539,0.055243,0.41432,-0.069053
6.596947,0.19335,0.096674,0.331456,-0.041432
6.616947,0.179539,0.027621,0.400509,-0.027621
6.636947,0.138107,0.055243,0.359077,-0.082864
6.656947,0.165729,0.069053,0.386699,-0.055243
6.725447,0.041432,0.055243,0.317645,-0.041432
6.745447,0.055243,0.041432,0.262403,-0.069053
6.765447,0.082864,0.027621,0.303835,-0.041432
6.785447,0.082864,0.027621,0.262403,-0.069053
6.805447,0.069053,0.013811,0.303835,-0.041432
6.825447,0.069053,0.027621,0.317645,-0.013811
6.845447,0.069053,0.041432,0.234781,-0.041432
6.865447,0.013811,0.055243,0.276213,-0.027621
