time,MA,MC,MD,MF
9.465447,5.7728,1.9292,0.5948,0.99888
9.485447,5.7728,1.9292,0.5948,0.99888
9.505447,5.7728,1.9292,0.5948,0.99888
9.525447,5.7728,1.9292,0.5948,0.99888
9.545447,5.7728,1.9292,0.5948,0.99888
9.565447,5.7728,1.9292,0.5948,0.99888
9.585447,5.7728,1.9292,0.5948,0.99888
9.605447,5.7728,1.9292,0.5948,0.99888
9.625447,5.7728,1.9292,0.5948,0.99888
9.645447,5.7728,1.9292,0.5948,0.99888
9.665447,5.7728,1.9292,0.5948,0.99888
9.685447,5.7728,1.9292,0.5948,0.99888
9.705447,5.7728,1.9292,0.5948,0.99888
9.725447,5.7728,1.9292,0.5948,0.99888
9.745447,5.7728,1.9292,0.5948,0.99888
9.765447,5.7728,1.9292,0.5948,0.99888
9.785447,5.7728,1.9292,0.5948,0.99888
9.805447,5.7728,1.9292,0.5948,0.99888
9.825447,5.7728,1.9292,0.5948,0.99888
9.845447,5.7728,1.9292,0.5948,0.99888
9.865447,5.7728,1.9292,0.5948,0.99888
9.885447,5.7728,1.9292,0.5948,0.99888
9.905447,5.7728,1.9292,0.5948,0.99888
9.925447,5.7728,1.9292,0.5948,0.99888
9.945447,5.7728,1.9292,0.5948,0.99888
9.965447,5.7728,1.9292,0.5948,0.99888
9.985447,5.7728,1.9292,0.5948,0.99888
