time,MD,MF
12.459992,0.013811,0.013811
12.479992,0.013811,-0.013811
12.499992,0.013811,-0.013811
12.519992,0.013811,-0.013811
12.540092,0.013811,-0.027621
12.559992,0.027621,-0.013811
12.579992,0.027621,0.0
12.599992,0.027621,-0.027621
12.619992,0.013811,-0.027621
12.639992,0.027621,-0.027621
12.659992,0.013811,0.0
12.679992,0.013811,-0.013811
12.699992,0.027621,-0.027621
12.719992,0.041432,-0.013811
12.739992,0.013811,-0.027621
12.760092,0.027621,-0.027621
12.779992,0.027621,-0.013811
12.799992,0.013811,-0.013811
12.819992,0.013811,-0.013811
12.839992,0.027621,-0.041432
12.859992,0.041432,-0.013811
12.879992,0.027621,-0.013811
12.900092,0.027621,-0.027621
12.920092,0.027621,-0.027621
12.939992,0.027621,-0.027621
12.960092,0.041432,-0.027621
12.979992,0.027621,-0.013811
12.999992,0.027621,-0.027621
13.019992,0.013811,-0.013811
13.039992,0.013811,-0.027621
13.059992,0.027621,-0.041432
13.079992,0.041432,-0.055243
13.099992,0.027621,-0.013811
13.119992,0.027621,-0.041432
13.139992,0.041432,-0.013811
13.159992,0.013811,-0.013811
13.179992,0.041432,-0.013811
13.199992,0.027621,-0.013811
13.219992,0.013811,-0.013811
13.239992,0.027621,0.0
13.259992,0.027621,-0.041432
13.279992,0.027621,0.0
13.299992,0.013811,-0.013811
13.320092,0.013811,-0.027621
13.339992,0.027621,0.013811
13.360092,0.041432,0.0
13.380092,0.013811,0.0
13.399992,0.027621,-0.013811
13.419992,0.013811,-0.013811
13.439992,0.027621,-0.013811
13.459992,0.013811,-0.013811
13.479992,0.027621,-0.027621
13.499992,0.013811,-0.013811
13.519992,0.013811,-0.013811
13.540092,0.027621,-0.013811
13.559992,0.027621,-0.013811
13.579992,0.027621,-0.013811
13.599992,0.013811,-0.027621
13.619992,0.027621,-0.027621
13.640092,0.013811,-0.013811
13.659992,0.013811,0.0
13.680092,0.013811,-0.027621
13.699992,0.013811,-0.013811
13.719992,0.027621,-0.041432
13.739992,0.027621,-0.013811
13.759992,0.027621,-0.027621
13.779992,0.027621,-0.027621
13.799992,0.013811,-0.013811
13.820092,0.041432,-0.013811
13.839992,0.027621,-0.013811
13.859992,0.027621,-0.027621
13.879992,0.013811,-0.027621
13.899992,0.027621,-0.027621
13.920092,0.013811,-0.013811
13.940092,0.027621,-0.013811
13.959992,0.027621,-0.013811
13.979992,0.027621,-0.027621
13.999992,0.013811,-0.013811
14.019992,0.013811,-0.027621
14.039992,0.013811,-0.013811
14.059992,0.013811,0.0
14.079992,0.027621,-0.013811
14.099992,0.027621,0.0
14.119992,0.013811,0.0
14.139992,0.027621,-0.013811
14.159992,0.013811,-0.013811
14.179992,0.027621,-0.027621
14.199992,0.027621,-0.013811
14.220092,0.041432,0.0
14.239992,0.027621,-0.027621
14.259992,0.027621,-0.013811
14.279992,0.013811,-0.013811
14.299992,0.027621,-0.013811
14.319992,0.013811,-0.027621
14.339992,0.027621,0.0
14.360092,0.027621,-0.041432
14.380092,0.027621,-0.013811
14.399992,0.027621,-0.027621
14.419992,0.027621,-0.013811
14.439992,0.013811,-0.013811
14.459992,0.013811,-0.013811
14.479992,0.027621,-0.027621
14.499992,0.013811,-0.013811
14.519992,0.027621,-0.013811
14.539992,0.027621,-0.013811
14.559992,0.027621,0.0
14.579992,0.013811,0.0
14.599992,0.027621,-0.027621
14.619992,0.013811,-0.013811
14.639992,0.027621,0.0
14.659992,0.027621,-0.027621
14.679992,0.027621,-0.013811
14.699992,0.027621,-0.041432
14.720092,0.027621,-0.027621
14.739992,0.027621,0.0
14.760092,0.027621,0.0
14.779992,0.027621,-0.027621
14.799992,0.027621,-0.013811
14.819992,0.013811,-0.013811
14.839992,0.013811,-0.013811
14.859992,0.041432,-0.013811
14.880092,0.013811,-0.013811
14.899992,0.027621,-0.013811
14.919992,0.013811,-0.027621
14.939992,0.027621,-0.027621
14.959992,0.027621,-0.027621
14.979992,0.013811,0.0
14.999992,0.027621,0.027621
