time,MB,MC,MD,ME
8.857059,0.096675,0.055243,0.027621,-0.013811
8.877059,0.096675,0.055243,0.027621,0.0
8.897059,0.096675,0.069053,0.027621,-0.013811
8.917059,0.096675,0.055243,0.027621,-0.027621
8.937059,0.096675,0.041432,0.027621,0.013811
8.957059,0.096675,0.055243,0.027621,0.0
8.977059,0.096675,0.055243,0.027621,0.0
8.997059,0.096675,0.069053,0.041432,0.0
9.017059,0.082864,0.041432,0.027621,0.013811
9.037059,0.096675,0.055243,0.027621,0.0
9.057059,0.096675,0.027621,0.027621,-0.013811
9.077059,0.096675,0.055243,0.027621,0.0
9.097059,0.096675,0.041432,0.027621,0.0
9.117059,0.096675,0.055243,0.027621,0.0
9.137059,0.082864,0.055243,0.013811,-0.013811
9.157059,0.082864,0.055243,0.027621,0.0
9.177059,0.082864,0.069053,0.055243,0.027621
9.197059,0.096675,0.041432,0.041432,-0.013811
9.217059,0.082864,0.027621,0.027621,0.0
9.237059,0.082864,0.041432,0.041432,0.0
9.257059,0.096675,0.055243,0.041432,0.0
9.277059,0.082864,0.027621,0.027621,0.0
9.297059,0.096675,0.069053,0.027621,-0.013811
9.317059,0.096675,0.041432,0.041432,-0.013811
9.337059,0.096675,0.069053,0.027621,0.0
9.357059,0.096675,0.041432,0.013811,0.0
9.377059,0.096675,0.055243,0.013811,-0.055243
9.397059,0.096675,0.041432,0.041432,0.0
9.417059,0.082864,0.041432,0.027621,-0.013811
9.437059,0.082864,0.055243,0.027621,0.0
9.457059,0.082864,0.069053,0.041432,-0.013811
9.477059,0.096675,0.041432,0.027621,0.027621
9.497059,0.110485,0.041432,0.027621,0.013811
9.517059,0.096675,0.069053,0.041432,-0.027621
9.537059,0.096675,0.055243,0.027621,-0.013811
9.557059,0.096675,0.055243,0.027621,0.0
9.577059,0.082864,0.055243,0.027621,0.0
9.597059,0.096675,0.055243,0.027621,-0.013811
9.617059,0.096675,0.027621,0.027621,-0.013811
9.637059,0.082864,0.055243,0.055243,0.013811
9.657059,0.096675,0.069053,0.013811,0.041432
9.677059,0.082864,0.055243,0.041432,0.013811
9.697059,0.096675,0.055243,0.027621,0.013811
9.717059,0.096675,0.041432,0.027621,0.013811
9.737059,0.082864,0.041432,0.027621,0.013811
9.757059,0.082864,0.041432,0.027621,-0.013811
9.777059,0.082864,0.069053,0.013811,0.013811
9.797059,0.096675,0.069053,0.041432,0.041432
9.817059,0.096675,0.082864,0.027621,-0.013811
9.837059,0.082864,0.055243,0.041432,-0.013811
9.857059,0.082864,0.041432,0.027621,0.0
9.877059,0.082864,0.055243,0.027621,0.0
9.897059,0.096675,0.069053,0.041432,0.013811
9.917059,0.096675,0.055243,0.055243,0.0
9.937059,0.096675,0.041432,0.041432,0.0
9.957059,0.096675,0.055243,0.041432,0.0
9.977059,0.096675,0.041432,0.027621,0.0
9.997059,0.096675,0.055243,0.027621,-0.013811
